time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
45.0,31.2880859375,0.024269142511589792,51.4419781571208,4.685872547068334e-12,472.7130140658545,492.7249404550062,4.71081156036257e-13,2.697802790993498e-10,1.5450949664141247e-07,8.849760247725144e-05,0.050692074299139814,1.0135298817287854e-11,9.909490547570353e-10,1.6883187569266136e-07,3.7786530580888877e-05,0.009968802490054548,9.109044237677118e-14
46.0,31.2395625,0.025707738978451803,55.504747888575736,7.845384094871007e-12,526.1863770887028,492.58874028038275,4.71081156036388e-13,2.9498293876390773e-10,1.8472410967288594e-07,0.00011568483482787528,0.07245295894516937,1.6255652729559876e-11,1.6849553703577378e-09,3.090816751509802e-07,7.51491440233596e-05,0.021653120778410143,1.413461801613873e-13
47.0,31.1888828125,0.027033467793014253,59.313852548275754,1.3451024250567877e-11,583.5956773071285,492.3601405397612,4.710811560367504e-13,3.220531677290569e-10,2.2018149919342986e-07,0.0001505414096400154,0.10293274736740488,2.663971637838262e-11,2.8940068632094046e-09,5.665140014025951e-07,0.000148633678510549,0.0465257946610452,2.2677711314772616e-13
48.0,31.136,0.028094761245010688,62.4067070027526,2.3397910532860206e-11,644.4559570826427,491.9660748026678,4.71081156036841e-13,3.5077339623963266e-10,2.6120146188469917e-07,0.00019451047045868482,0.144853568882065,4.4606404782523025e-11,5.020123461806892e-09,1.0379284633835825e-06,0.0002914256305323661,0.09843974064315737,3.749262163733168e-13
49.0,31.0808671875,0.02862789096697543,63.97462641162621,4.037142894079368e-11,707.6466237898321,491.28049168871974,4.710811560366458e-13,3.8063174273613914e-10,3.0755981608900734e-07,0.0002485248386977345,0.200828778490207,7.580204820392579e-11,8.750618012020588e-09,1.8899582501025141e-06,0.0005623321693776354,0.20326031648065004,6.310537662390618e-13
50.0,31.0234375,0.028230361726827597,62.804608865306044,6.626738494743353e-11,771.0362414282982,490.1122636856101,4.710811560365741e-13,4.1063770734458937e-10,3.5796047879515466e-07,0.00031205039194641485,0.27203703667423956,1.284201950357907e-10,1.51117594002363e-08,3.37446117829574e-06,0.001052469176844438,0.40297871508360206,1.0551357001450949e-12
51.0,30.9636640625,0.026454366802033415,57.64243787638653,9.72019571688181e-11,831.2597647991445,488.2504284313761,4.71081156036165e-13,4.391905740119735e-10,4.094697208561244e-07,0.00038177041666233785,0.3559546363635103,2.1021317334814931e-10,2.5181318402843894e-08,5.766755319299328e-06,0.0018651355285426762,0.7479064928370023,1.6862915717976128e-12
52.0,30.9015,0.023155797235399664,48.35002073741577,1.1907027430646814e-10,884.2559941060456,485.63023281714635,4.710811560367648e-13,4.643037050419188e-10,4.576346087851363e-07,0.0004510721676413623,0.44461471480588677,3.199172530727202e-10,3.912772165197585e-08,9.143165042453476e-06,0.003037632646866841,1.2610693393258519,2.4626726626060237e-12
53.0,30.8368984375,0.018891173352591113,36.95792692991773,1.1790213329391605e-10,926.9099679397124,482.5196703291222,4.710811560367669e-13,4.844265329219686e-10,4.98160822478319e-07,0.0005122958283395073,0.526843738185854,4.4055307808500555e-10,5.525887036607237e-08,1.3138327511501809e-05,0.004450609217459665,1.8935323450185286,3.190171719249581e-12
54.0,30.7698125,0.014696242440969004,26.531275959841306,9.779124241940789e-11,958.6545693845919,479.4110677281162,4.71081156036001e-13,4.993020507546361e-10,5.292244130488945e-07,0.0005609516441151572,0.5945934961329391,5.494273181120325e-10,7.084795271494512e-08,1.7102350782608354e-05,0.005875224776568313,2.541709580823644,3.685885389282756e-12
